model_id,model_type,model_area
163159,msi,ist
163159,msi,mont
163159,msi,ist_mont
163160,msi,ist
163160,msi,mont
163160,msi,ist_mont
163161,msi,ist
163161,msi,mont
163161,msi,ist_mont
163162,msi,ist
163162,msi,mont
163162,msi,ist_mont
163163,msi,ist
163163,msi,mont
163163,msi,ist_mont
163164,msi,ist
163164,msi,mont
163164,msi,ist_mont
163165,msi,ist
163165,msi,mont
163165,msi,ist_mont
163166,msi,ist
163166,msi,mont
163166,msi,ist_mont
163167,msi,ist
163167,msi,mont
163167,msi,ist_mont
163169,msi,ist
163169,msi,mont
163169,msi,ist_mont
163170,msi,ist
163170,msi,mont
163170,msi,ist_mont
163171,msi,ist
163171,msi,mont
163171,msi,ist_mont
163172,msi,ist
163172,msi,mont
163172,msi,ist_mont
163174,msi,ist
163174,msi,mont
163174,msi,ist_mont
163175,msi,ist
163175,msi,mont
163175,msi,ist_mont
163176,msi,ist
163176,msi,mont
163176,msi,ist_mont
163177,msi,ist
163177,msi,mont
163177,msi,ist_mont
163178,msi,ist
163178,msi,mont
163178,msi,ist_mont
163179,msi,ist
163179,msi,mont
163179,msi,ist_mont
163180,msi,ist
163180,msi,mont
163180,msi,ist_mont
163181,msi,ist
163181,msi,mont
163181,msi,ist_mont
163182,msi,ist
163182,msi,mont
163182,msi,ist_mont
163183,msi,ist
163183,msi,mont
163183,msi,ist_mont
163184,msi,ist
163184,msi,mont
163184,msi,ist_mont
163185,msi,ist
163185,msi,mont
163185,msi,ist_mont
163186,msi,ist
163186,msi,mont
163186,msi,ist_mont
163187,msi,ist
163187,msi,mont
163187,msi,ist_mont
163188,msi,ist
163188,msi,mont
163188,msi,ist_mont
163189,msi,ist
163189,msi,mont
163189,msi,ist_mont
163190,msi,ist
163190,msi,mont
163190,msi,ist_mont
166219,traj,ist
166219,traj,mont
166219,traj,ist_mont
166220,traj,ist
166220,traj,mont
166220,traj,ist_mont
166221,traj,ist
166221,traj,mont
166221,traj,ist_mont
166222,traj,ist
166222,traj,mont
166222,traj,ist_mont
166223,traj,ist
166223,traj,mont
166223,traj,ist_mont
166224,traj,ist
166224,traj,mont
166224,traj,ist_mont
166225,traj,ist
166225,traj,mont
166225,traj,ist_mont
166226,traj,ist
166226,traj,mont
166226,traj,ist_mont
166227,traj,ist
166227,traj,mont
166227,traj,ist_mont
166228,traj,ist
166228,traj,mont
166228,traj,ist_mont
166229,traj,ist
166229,traj,mont
166229,traj,ist_mont
166230,traj,ist
166230,traj,mont
166230,traj,ist_mont
166231,traj,ist
166231,traj,mont
166231,traj,ist_mont
166232,traj,ist
166232,traj,mont
166232,traj,ist_mont
166233,traj,ist
166233,traj,mont
166233,traj,ist_mont
166234,traj,ist
166234,traj,mont
166234,traj,ist_mont
166235,traj,ist
166235,traj,mont
166235,traj,ist_mont
166236,traj,ist
166236,traj,mont
166236,traj,ist_mont
166237,traj,ist
166237,traj,mont
166237,traj,ist_mont
166238,traj,ist
166238,traj,mont
166238,traj,ist_mont
166239,traj,ist
166239,traj,mont
166239,traj,ist_mont
166240,traj,ist
166240,traj,mont
166240,traj,ist_mont
166241,traj,ist
166241,traj,mont
166241,traj,ist_mont
166242,traj,ist
166242,traj,mont
166242,traj,ist_mont
166243,traj,ist
166243,traj,mont
166243,traj,ist_mont
166244,traj,ist
166244,traj,mont
166244,traj,ist_mont
166245,traj,ist
166245,traj,mont
166245,traj,ist_mont
166246,traj,ist
166246,traj,mont
166246,traj,ist_mont
166247,traj,ist
166247,traj,mont
166247,traj,ist_mont
166248,traj,ist
166248,traj,mont
166248,traj,ist_mont
168459,traj,ist
168459,traj,mont
168459,traj,ist_mont
168460,traj,ist
168460,traj,mont
168460,traj,ist_mont
168461,traj,ist
168461,traj,mont
168461,traj,ist_mont
168462,traj,ist
168462,traj,mont
168462,traj,ist_mont
168463,traj,ist
168463,traj,mont
168463,traj,ist_mont
168464,traj,ist
168464,traj,mont
168464,traj,ist_mont
168465,traj,ist
168465,traj,mont
168465,traj,ist_mont
168466,traj,ist
168466,traj,mont
168466,traj,ist_mont
168467,traj,ist
168467,traj,mont
168467,traj,ist_mont
168468,traj,ist
168468,traj,mont
168468,traj,ist_mont
168469,traj,ist
168469,traj,mont
168469,traj,ist_mont
168470,traj,ist
168470,traj,mont
168470,traj,ist_mont
168471,traj,ist
168471,traj,mont
168471,traj,ist_mont
168472,traj,ist
168472,traj,mont
168472,traj,ist_mont
168473,traj,ist
168473,traj,mont
168473,traj,ist_mont
168474,traj,ist
168474,traj,mont
168474,traj,ist_mont
168475,traj,ist
168475,traj,mont
168475,traj,ist_mont
168476,traj,ist
168476,traj,mont
168476,traj,ist_mont
168477,traj,ist
168477,traj,mont
168477,traj,ist_mont
168478,traj,ist
168478,traj,mont
168478,traj,ist_mont
168479,traj,ist
168479,traj,mont
168479,traj,ist_mont
168480,traj,ist
168480,traj,mont
168480,traj,ist_mont
168481,traj,ist
168481,traj,mont
168481,traj,ist_mont
168482,traj,ist
168482,traj,mont
168482,traj,ist_mont
