model_id,model_type,model_area
166222,traj,mont
166222,traj,ist_mont
166223,traj,ist
166223,traj,mont
166223,traj,ist_mont
166224,traj,ist
166224,traj,mont
166224,traj,ist_mont
166225,traj,ist
166225,traj,mont
166225,traj,ist_mont
166226,traj,ist
166226,traj,mont
166226,traj,ist_mont
166227,traj,ist
166227,traj,mont
166227,traj,ist_mont
166228,traj,ist
166228,traj,mont
166228,traj,ist_mont
166229,traj,ist
166229,traj,mont
166229,traj,ist_mont
166230,traj,ist
166230,traj,mont
166230,traj,ist_mont
166231,traj,ist
166231,traj,mont
166231,traj,ist_mont
166232,traj,ist
166232,traj,mont
166232,traj,ist_mont
166233,traj,ist
166233,traj,mont
166233,traj,ist_mont
166234,traj,ist
166234,traj,mont
166234,traj,ist_mont
166235,traj,ist
166235,traj,mont
166235,traj,ist_mont
166236,traj,ist
166236,traj,mont
166236,traj,ist_mont
166237,traj,ist
166237,traj,mont
166237,traj,ist_mont
166238,traj,ist
166238,traj,mont
166238,traj,ist_mont
