model_id,model_type,model_area
314862,traj,ist
314862,traj,ist_mont
314862,traj,mont
314863,traj,ist
314863,traj,ist_mont
314863,traj,mont
314864,traj,ist
314864,traj,ist_mont
314864,traj,mont
314865,traj,ist
314865,traj,ist_mont
314865,traj,mont
314866,traj,ist
314866,traj,ist_mont
314866,traj,mont
314867,traj,ist
314867,traj,ist_mont
314867,traj,mont
314868,traj,ist
314868,traj,ist_mont
314868,traj,mont
314869,traj,ist
314869,traj,ist_mont
314869,traj,mont
314870,traj,ist
314870,traj,ist_mont
314870,traj,mont
314871,traj,ist
314871,traj,ist_mont
314871,traj,mont
314872,traj,ist
314872,traj,ist_mont
314872,traj,mont
314873,traj,ist
314873,traj,ist_mont
314873,traj,mont
