model_id,model_type,model_area
466475,traj,ist
466475,traj,ist_mont
466475,traj,mont
466476,traj,ist
466476,traj,ist_mont
466476,traj,mont
466477,traj,ist
466477,traj,ist_mont
466477,traj,mont
466478,traj,ist
466478,traj,ist_mont
466478,traj,mont
466479,traj,ist
466479,traj,ist_mont
466479,traj,mont
466480,traj,ist
466480,traj,ist_mont
466480,traj,mont
466481,traj,ist
466481,traj,ist_mont
466481,traj,mont
466482,traj,ist
466482,traj,ist_mont
466482,traj,mont
466483,traj,ist
466483,traj,ist_mont
466483,traj,mont
466484,traj,ist
466484,traj,ist_mont
466484,traj,mont
466485,traj,ist
466485,traj,ist_mont
466485,traj,mont
466486,traj,ist
466486,traj,ist_mont
466486,traj,mont
