model_id,model_type,model_area
314911,traj,ist
314911,traj,ist_mont
314911,traj,mont
314912,traj,ist
314912,traj,ist_mont
314912,traj,mont
314913,traj,ist
314913,traj,ist_mont
314913,traj,mont
314914,traj,ist
314914,traj,ist_mont
314914,traj,mont
314915,traj,ist
314915,traj,ist_mont
314915,traj,mont
314916,traj,ist
314916,traj,ist_mont
314916,traj,mont
314917,traj,ist
314917,traj,ist_mont
314917,traj,mont
314918,traj,ist
314918,traj,ist_mont
314918,traj,mont
314919,traj,ist
314919,traj,ist_mont
314919,traj,mont
314920,traj,ist
314920,traj,ist_mont
314920,traj,mont
314921,traj,ist
314921,traj,ist_mont
314921,traj,mont
314922,traj,ist
314922,traj,ist_mont
314922,traj,mont
