model_id,model_type,model_area
466487,traj,ist
466487,traj,ist_mont
466487,traj,mont
466488,traj,ist
466488,traj,ist_mont
466488,traj,mont
466489,traj,ist
466489,traj,ist_mont
466489,traj,mont
466490,traj,ist
466490,traj,ist_mont
466490,traj,mont
466491,traj,ist
466491,traj,ist_mont
466491,traj,mont
466492,traj,ist
466492,traj,ist_mont
466492,traj,mont
466493,traj,ist
466493,traj,ist_mont
466493,traj,mont
466494,traj,ist
466494,traj,ist_mont
466494,traj,mont
466495,traj,ist
466495,traj,ist_mont
466495,traj,mont
466496,traj,ist
466496,traj,ist_mont
466496,traj,mont
466497,traj,ist
466497,traj,ist_mont
466497,traj,mont
