model_id,model_type,model_area
466499,traj,ist
466499,traj,ist_mont
466499,traj,mont
466500,traj,ist
466500,traj,ist_mont
466500,traj,mont
466501,traj,ist
466501,traj,ist_mont
466501,traj,mont
466502,traj,ist
466502,traj,ist_mont
466502,traj,mont
466503,traj,ist
466503,traj,ist_mont
466503,traj,mont
466504,traj,ist
466504,traj,ist_mont
466504,traj,mont
466505,traj,ist
466505,traj,ist_mont
466505,traj,mont
466506,traj,ist
466506,traj,ist_mont
466506,traj,mont
466507,traj,ist
466507,traj,ist_mont
466507,traj,mont
466508,traj,ist
466508,traj,ist_mont
466508,traj,mont
466509,traj,ist
466509,traj,ist_mont
466509,traj,mont
466510,traj,ist
466510,traj,ist_mont
466510,traj,mont
