model_id,model_type,model_area
308534,traj,ist
308534,traj,ist_mont
308534,traj,mont
308535,traj,ist
308535,traj,ist_mont
308535,traj,mont
308536,traj,ist
308536,traj,ist_mont
308536,traj,mont
308537,traj,ist
308537,traj,ist_mont
308537,traj,mont
308538,traj,ist
308538,traj,ist_mont
308538,traj,mont
308539,traj,ist
308539,traj,ist_mont
308539,traj,mont
308540,traj,ist
308540,traj,ist_mont
308540,traj,mont
308541,traj,ist
308541,traj,ist_mont
308541,traj,mont
308542,traj,ist
308542,traj,ist_mont
308542,traj,mont
308543,traj,ist
308543,traj,ist_mont
308543,traj,mont
308544,traj,ist
308544,traj,ist_mont
308544,traj,mont
308545,traj,ist
308545,traj,ist_mont
308545,traj,mont
