model_id,model_type,model_area
466523,traj,ist
466523,traj,ist_mont
466523,traj,mont
466524,traj,ist
466524,traj,ist_mont
466524,traj,mont
466525,traj,ist
466525,traj,ist_mont
466525,traj,mont
466526,traj,ist
466526,traj,ist_mont
466526,traj,mont
466527,traj,ist
466527,traj,ist_mont
466527,traj,mont
466528,traj,ist
466528,traj,ist_mont
466528,traj,mont
466529,traj,ist
466529,traj,ist_mont
466529,traj,mont
466530,traj,ist
466530,traj,ist_mont
466530,traj,mont
466531,traj,ist
466531,traj,ist_mont
466531,traj,mont
466532,traj,ist
466532,traj,ist_mont
466532,traj,mont
466533,traj,ist
466533,traj,ist_mont
466533,traj,mont
466534,traj,ist
466534,traj,ist_mont
466534,traj,mont
