model_id,model_type,model_area
304256,traj,ist
304256,traj,ist_mont
304256,traj,mont
304257,traj,ist
304257,traj,ist_mont
304257,traj,mont
304258,traj,ist
304258,traj,ist_mont
304258,traj,mont
304259,traj,ist
304259,traj,ist_mont
304259,traj,mont
304260,traj,ist
304260,traj,ist_mont
304260,traj,mont
304261,traj,ist
304261,traj,ist_mont
304261,traj,mont
304262,traj,ist
304262,traj,ist_mont
304262,traj,mont
304263,traj,ist
304263,traj,ist_mont
304263,traj,mont
304264,traj,ist
304264,traj,ist_mont
304264,traj,mont
304265,traj,ist
304265,traj,ist_mont
304265,traj,mont
304266,traj,ist
304266,traj,ist_mont
304266,traj,mont
304267,traj,ist
304267,traj,ist_mont
304267,traj,mont
304268,traj,ist
304268,traj,ist_mont
304268,traj,mont
304269,traj,ist
304269,traj,ist_mont
304269,traj,mont
304270,traj,ist
304270,traj,ist_mont
304270,traj,mont
304271,traj,ist
304271,traj,ist_mont
304271,traj,mont
304272,traj,ist
304272,traj,ist_mont
304272,traj,mont
304273,traj,ist
304273,traj,ist_mont
304273,traj,mont
304274,traj,ist
304274,traj,ist_mont
304274,traj,mont
304275,traj,ist
304275,traj,ist_mont
304275,traj,mont
304276,traj,ist
304276,traj,ist_mont
304276,traj,mont
304277,traj,ist
304277,traj,ist_mont
304277,traj,mont
304278,traj,ist
304278,traj,ist_mont
304278,traj,mont
304279,traj,ist
304279,traj,ist_mont
304279,traj,mont
