model_id,model_type,model_area
304280,traj,ist
304280,traj,ist_mont
304280,traj,mont
304281,traj,ist
304281,traj,ist_mont
304281,traj,mont
304282,traj,ist
304282,traj,ist_mont
304282,traj,mont
304283,traj,ist
304283,traj,ist_mont
304283,traj,mont
304284,traj,ist
304284,traj,ist_mont
304284,traj,mont
304285,traj,ist
304285,traj,ist_mont
304285,traj,mont
304286,traj,ist
304286,traj,ist_mont
304286,traj,mont
304287,traj,ist
304287,traj,ist_mont
304287,traj,mont
304288,traj,ist
304288,traj,ist_mont
304288,traj,mont
304289,traj,ist
304289,traj,ist_mont
304289,traj,mont
304290,traj,ist
304290,traj,ist_mont
304290,traj,mont
304291,traj,ist
304291,traj,ist_mont
304291,traj,mont
304292,traj,ist
304292,traj,ist_mont
304292,traj,mont
304293,traj,ist
304293,traj,ist_mont
304293,traj,mont
304294,traj,ist
304294,traj,ist_mont
304294,traj,mont
304295,traj,ist
304295,traj,ist_mont
304295,traj,mont
304296,traj,ist
304296,traj,ist_mont
304296,traj,mont
304297,traj,ist
304297,traj,ist_mont
304297,traj,mont
304298,traj,ist
304298,traj,ist_mont
304298,traj,mont
304299,traj,ist
304299,traj,ist_mont
304299,traj,mont
304300,traj,ist
304300,traj,ist_mont
304300,traj,mont
304301,traj,ist
304301,traj,ist_mont
304301,traj,mont
304302,traj,ist
304302,traj,ist_mont
304302,traj,mont
304303,traj,ist
304303,traj,ist_mont
304303,traj,mont
