JOBDEVICE|JOBNAME|MODELNAME|MODELCONFIG|MODELINPUTS
akya-cuda|ngengec_resunet_bc_ist|resunet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_dlinknet_bc_ist|dlinknet|model_config_remote_bc_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_unet_bc_ist|unet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_resunet_focal_ist|resunet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_dlinknet_focal_ist|dlinknet|model_config_remote_focal_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_unet_focal_ist|unet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_resunet_mse_ist|resunet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_dlinknet_mse_ist|dlinknet|model_config_remote_mse_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_unet_mse_ist|unet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_resunet_bc_mont|resunet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_bc_mont|dlinknet|model_config_remote_bc_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_bc_mont|unet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_focal_mont|resunet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_focal_mont|dlinknet|model_config_remote_focal_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_focal_mont|unet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_mse_mont|resunet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_mse_mont|dlinknet|model_config_remote_mse_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_mse_mont|unet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_bc_ist_mont|resunet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_bc_ist_mont|dlinknet|model_config_remote_bc_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_bc_ist_mont|unet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_dice_bc_ist_mont|resunet|model_config_remote_dice_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_dice_bc_ist_mont|dlinknet|model_config_remote_dice_bc_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_dice_bc_ist_mont|unet|model_config_remote_dice_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_focal_ist_mont|resunet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_focal_ist_mont|dlinknet|model_config_remote_focal_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_focal_ist_mont|unet|model_config_remote_focal.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_resunet_mse_ist_mont|resunet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_dlinknet_mse_ist_mont|dlinknet|model_config_remote_mse_dlink.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
akya-cuda|ngengec_unet_mse_ist_mont|unet|model_config_remote_mse.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi.json']
