JOBDEVICE|JOBNAME|MODELNAME|MODELCONFIG|MODELINPUTS
akya-cuda|ngengec_resunet_mse_ist_traj_average_2|resunet_traj_type2|model_config_remote_mse_average_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_traj_concat_2|resunet_traj_type2|model_config_remote_mse_concat_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_traj_maximum_2|resunet_traj_type2|model_config_remote_mse_maximum_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_traj_multiply_2|resunet_traj_type2|model_config_remote_mse_multiply_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
akya-cuda|ngengec_resunet_mse_mont_traj_average_2|resunet_traj_type2|model_config_remote_mse_average_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_mont_traj_concat_2|resunet_traj_type2|model_config_remote_mse_concat_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_mont_traj_maximum_2|resunet_traj_type2|model_config_remote_mse_maximum_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_mont_traj_multiply_2|resunet_traj_type2|model_config_remote_mse_multiply_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_mont_traj_average_2|resunet_traj_type2|model_config_remote_mse_average_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_mont_traj_concat_2|resunet_traj_type2|model_config_remote_mse_concat_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_mont_traj_maximum_2|resunet_traj_type2|model_config_remote_mse_maximum_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
akya-cuda|ngengec_resunet_mse_ist_mont_traj_multiply_2|resunet_traj_type2|model_config_remote_mse_multiply_2.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json','/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_small_msi_traj.json']
